"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","small molecule binding","GO:0036094","2.9754554759325946e-42","41.52644654403856","2584","285","130","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,CTH,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,HSP90AB1,ME1,HACL1,FBP1,ACSL5,CPS1,HSPA8,AHCY,PAPSS2,FASN,CBS,TAT,ALDOA,GBP2,ACSL1,MYO1C,ACOX1,ALDOB,CAT,GAPDH,ASS1,GPI,IDH1,NAMPT,TALDO1,MTHFD1,EPRS,MAOB,ACAD11,SORD,TKT,AOX3,IDE,SHPK,SDS,IFIH1,CTPS2,FMO1,GOT1,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,VDAC1,XDH,FARSB,ACOX2,ASPDH,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ACOX3,ST13,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PHYH,PCK1,DPYS,GBP5,DDX58,ADK,NSF,HAO1,LARS,CCT5,OAT,HSPA1A,PFKL,TCP1,LDHA,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,ACTN4,PITPNA,ALDH2,GLUL,UGDH,DHX9,AOX1,IDH3A,VDAC3,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,KYNU,PAK2,IRGM1,CCT7,HSPA9,MDH1,CTPS1"
"GO:MF","catalytic activity","GO:0003824","7.229192408497925e-42","41.140910216138785","5913","285","193","21091","RNF213,PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,CTH,PXK,GK,PPP3CC,SCP2,ME1,HACL1,FBP1,PIPOX,ASL,ALDH1L1,ACSL5,CPS1,ARG1,HSPA8,AHCY,PAPSS2,FASN,CBS,TAT,SND1,PRDX1,ALDOA,FGGY,GBP2,GMPPA,GLS2,ACSL1,SELENBP1,ACO1,MYO1C,GDA,ESD,ACOX1,CROT,SEC14L2,ALDOB,EPHX2,UOX,CAT,GAPDH,ASS1,BPGM,GPI,IDH1,EHHADH,PGM1,NAMPT,TALDO1,MTHFD1,BAAT,UPB1,EPRS,MAOB,ACAD11,SORD,TNFAIP3,USP19,HSD17B4,TKT,CYP2D10,ECH1,AOX3,IDE,SHPK,SDS,IFIH1,CTPS2,FMO1,ENO1,BHMT,GOT1,PGM3,GSK3A,PKM,MYO1B,METAP2,DPP9,TAP1,ALDH9A1,GART,KIF5B,ZCCHC6,HSP90AA1,AMACR,IIGP1,XDH,FARSB,ACOX2,ASPDH,SETD3,UBR2,DDX3X,CPT1A,ABCE1,CRAT,MTOR,ECHS1,CYP17A1,PGK1,PPP2CA,AKR1A1,PBLD2,IARS,OASL2,IKBKE,DYNC1H1,ACOX3,PGAM1,ALDH7A1,PPA1,GBE1,DARS,ACAA1A,OAS3,ACACA,UBA1,GSS,ANXA1,IKBKG,PHYH,ACNAT1,PCK1,DPYS,GBP5,DDX58,ADK,NSF,ADH5,PSMB1,HAO1,GSTK1,LAP3,SDSL,LARS,ALDH8A1,HSDL2,OAT,GSTP1,TPI1,HSPA1A,PFKL,LDHA,ILK,ATIC,CRYZL1,NARS,SAMHD1,XRN1,ATP6V1B2,EEF2,CBR1,ALDH2,GLUL,UGDH,DHX9,AOX1,IDH3A,ACNAT2,PFAS,HSPD1,PTPN6,TGM2,EEF1A1,CAPN1,PRDX6,DNPEP,PFKP,UBE4B,KYNU,PECR,ZNFX1,PAK2,IRGM1,HPD,HSPA9,MDH1,HGD,PSMD13,PYCRL,ALDH1A7,MGST1,CTPS1,USP5"
"GO:MF","nucleoside phosphate binding","GO:1901265","1.951982922988649e-36","35.70952398609773","2226","285","114","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,HSP90AB1,ME1,HACL1,FBP1,ACSL5,CPS1,HSPA8,AHCY,PAPSS2,GBP2,ACSL1,MYO1C,ACOX1,CAT,GAPDH,ASS1,IDH1,NAMPT,MTHFD1,EPRS,MAOB,ACAD11,SORD,AOX3,IDE,SHPK,IFIH1,CTPS2,FMO1,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,VDAC1,XDH,FARSB,ACOX2,ASPDH,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ACOX3,ST13,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PCK1,GBP5,DDX58,ADK,NSF,HAO1,LARS,CCT5,HSPA1A,PFKL,TCP1,LDHA,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,PITPNA,ALDH2,GLUL,UGDH,DHX9,AOX1,IDH3A,VDAC3,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,PAK2,IRGM1,CCT7,HSPA9,MDH1,CTPS1"
"GO:MF","nucleotide binding","GO:0000166","1.951982922988649e-36","35.70952398609773","2226","285","114","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,HSP90AB1,ME1,HACL1,FBP1,ACSL5,CPS1,HSPA8,AHCY,PAPSS2,GBP2,ACSL1,MYO1C,ACOX1,CAT,GAPDH,ASS1,IDH1,NAMPT,MTHFD1,EPRS,MAOB,ACAD11,SORD,AOX3,IDE,SHPK,IFIH1,CTPS2,FMO1,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,VDAC1,XDH,FARSB,ACOX2,ASPDH,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ACOX3,ST13,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PCK1,GBP5,DDX58,ADK,NSF,HAO1,LARS,CCT5,HSPA1A,PFKL,TCP1,LDHA,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,PITPNA,ALDH2,GLUL,UGDH,DHX9,AOX1,IDH3A,VDAC3,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,PAK2,IRGM1,CCT7,HSPA9,MDH1,CTPS1"
"GO:MF","anion binding","GO:0043168","4.567903758446622e-34","33.34028305485325","2484","285","117","21091","PYGL,RARS,MYH9,MAP2K2,VARS,KARS,ACLY,CTH,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,HSP90AB1,HACL1,FBP1,ACSL5,CPS1,HSPA8,PAPSS2,CBS,TAT,GBP2,ACSL1,MYO1C,ACOX1,ASS1,MTHFD1,EPRS,MAOB,ACAD11,TKT,AOX3,IDE,SHPK,SDS,IFIH1,CTPS2,FMO1,GOT1,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,XDH,FARSB,ACOX2,UBR2,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ACOX3,ST13,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PHYH,PCK1,DPYS,GBP5,DDX58,ADK,NSF,ADH5,HAO1,LARS,WIPI2,IQGAP2,CCT5,OAT,GSTP1,HSPA1A,PFKL,TCP1,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,PITPNA,ALDH2,GLUL,DHX9,AOX1,PFAS,HSPD1,TGM2,EEF1A1,ANXA2,PFKP,UBE4B,KYNU,PAK2,IRGM1,CCT7,HSPA9,PICALM,MGST1,CTPS1"
"GO:MF","identical protein binding","GO:0042802","1.5329074683411737e-25","24.81448405988906","2143","285","97","21091","PYGL,MYH9,KARS,CTH,SCP2,HSP90AB1,ME1,HACL1,FBP1,ASL,ARG1,AHCY,FASN,CBS,TAT,PRDX1,ALDOA,GBP2,HGS,ESD,ACOX1,ALDOB,EPHX2,CAT,GAPDH,ASS1,IDH1,NAMPT,UPB1,EPRS,MAOB,SORD,TNFAIP3,HSD17B4,TKT,AOX3,IDE,SDS,IFIH1,CTPS2,ENO1,PKM,DPP9,TAP1,KIF5B,HSP90AA1,IIGP1,VDAC1,XDH,ACOX2,CPT1A,MTOR,PPP2CA,IKBKE,ALDH7A1,ST13,ACACA,ESYT1,ACTB,GSS,STAT3,S100A6,ANXA1,IKBKG,DPYS,GBP5,DDX58,ADH5,ZBP1,SDSL,PAFAH1B1,OAT,TPI1,PFKL,LDHA,ATIC,SNX6,SAMHD1,ACTN4,ALDH2,GLUL,UGDH,AOX1,TGM2,EEF1A1,ANXA2,DNPEP,PFKP,KYNU,PAK2,IFIT3,CCT7,HGD,PYCRL,PICALM,MGST1,CTPS1"
"GO:MF","purine nucleotide binding","GO:0017076","1.9890914167883287e-23","22.701345256647116","1979","285","90","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,HSP90AB1,HACL1,FBP1,ACSL5,CPS1,HSPA8,AHCY,PAPSS2,GBP2,ACSL1,MYO1C,ASS1,MTHFD1,EPRS,IDE,SHPK,IFIH1,CTPS2,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,FARSB,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ST13,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PCK1,GBP5,DDX58,ADK,NSF,LARS,CCT5,HSPA1A,PFKL,TCP1,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,PITPNA,GLUL,DHX9,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,PAK2,IRGM1,CCT7,HSPA9,CTPS1"
"GO:MF","adenyl nucleotide binding","GO:0030554","6.567767651582907e-23","22.182582219685862","1602","285","80","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,PXK,GK,HSPH1,HSPA4,SCP2,HSP90AB1,HACL1,FBP1,ACSL5,CPS1,HSPA8,AHCY,PAPSS2,ACSL1,MYO1C,ASS1,MTHFD1,EPRS,IDE,SHPK,IFIH1,CTPS2,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,FARSB,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ST13,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,DDX58,ADK,NSF,LARS,CCT5,HSPA1A,PFKL,TCP1,ILK,NARS,ATP6V1B2,ACTR2,PITPNA,GLUL,DHX9,PFAS,HSPD1,PFKP,UBE4B,PAK2,CCT7,HSPA9,CTPS1"
"GO:MF","ion binding","GO:0043167","7.263257932139298e-23","22.138868532939558","5944","285","164","21091","RNF213,PYGL,RARS,MYH9,MAP2K2,RPS27A,VARS,KARS,ACLY,CTH,PXK,GVIN1,MYOF,GK,HSPH1,HSPA4,PPP3CC,SCP2,HSP90AB1,ME1,HACL1,FBP1,ACSL5,CPS1,ARG1,HSPA8,AHCY,PAPSS2,CBS,TAT,GBP2,HGS,ACSL1,ACO1,MYO1C,GDA,ACOX1,ALDOB,EPHX2,CAT,ASS1,IDH1,PGM1,MTHFD1,UPB1,EPRS,MAOB,ACAD11,SORD,TNFAIP3,USP19,TKT,CYP2D10,AOX3,ATOX1,IDE,SHPK,SDS,IFIH1,CTPS2,FMO1,ENO1,BHMT,GOT1,PGM3,ACTR3,GSK3A,PKM,MYO1B,METAP2,TAP1,GART,KIF5B,ZCCHC6,HSP90AA1,IIGP1,VDAC1,XDH,FARSB,ACOX2,UBR2,DDX3X,ABCE1,MTOR,CCT6A,CYP17A1,PGK1,PPP2CA,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ACOX3,PPA1,GBE1,ST13,DARS,OAS3,TRIM56,ACACA,ESYT1,UBA1,ACTB,GSS,HSPA4L,SPTAN1,S100A6,ANXA1,IKBKG,PHYH,PCK1,DPYS,GBP5,DDX58,ADK,NSF,ADH5,HAO1,LAP3,LARS,WIPI2,IQGAP2,CCT5,OAT,GSTP1,HSPA1A,PFKL,TCP1,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,ACTN4,PITPNA,ALDH2,GLUL,DHX9,AOX1,IDH3A,PFAS,HSPD1,PITPNB,TGM2,EEF1A1,ANXA2,CAPN1,DNPEP,PFKP,UBE4B,KYNU,ZNFX1,PAK2,IRGM1,CCT7,HPD,HSPA9,HGD,PICALM,MGST1,CTPS1,USP5"
"GO:MF","ribonucleotide binding","GO:0032553","1.0597644880161802e-22","21.974790637489185","1983","285","89","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,HSP90AB1,HACL1,FBP1,ACSL5,CPS1,HSPA8,PAPSS2,GBP2,ACSL1,MYO1C,ASS1,MTHFD1,EPRS,IDE,SHPK,IFIH1,CTPS2,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,FARSB,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PCK1,GBP5,DDX58,ADK,NSF,HAO1,LARS,CCT5,HSPA1A,PFKL,TCP1,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,PITPNA,GLUL,DHX9,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,PAK2,IRGM1,CCT7,HSPA9,CTPS1"
