source,term_name,term_id,adjusted_p_value,log_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,RNA binding,GO:0003723,1.53E-44,43.81621037,1951,235,111,18679,"HGNC:166,HGNC:347,HGNC:10648,HGNC:414,HGNC:533,HGNC:18697,HGNC:823,HGNC:31326,HGNC:16863,HGNC:24170,HGNC:1243,HGNC:1473,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:16991,HGNC:2092,HGNC:2678,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:3214,HGNC:30858,HGNC:9437,HGNC:3296,HGNC:3350,HGNC:3418,HGNC:24520,HGNC:3594,HGNC:3754,HGNC:3755,HGNC:3775,HGNC:17136,HGNC:4199,HGNC:29931,HGNC:24941,HGNC:5039,HGNC:5045,HGNC:5046,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:5246,HGNC:5330,HGNC:6038,HGNC:6047,HGNC:6395,HGNC:28817,HGNC:26021,HGNC:6898,HGNC:6912,HGNC:18477,HGNC:29608,HGNC:7546,HGNC:7568,HGNC:7579,HGNC:31104,HGNC:7602,HGNC:7637,HGNC:29830,HGNC:8554,HGNC:270,HGNC:8647,HGNC:9021,HGNC:9069,HGNC:9253,HGNC:9413,HGNC:17340,HGNC:24903,HGNC:9846,HGNC:9870,HGNC:23244,HGNC:21863,HGNC:10304,HGNC:10317,HGNC:10381,HGNC:10414,HGNC:24534,HGNC:17860,HGNC:1546,HGNC:10770,HGNC:11026,HGNC:30646,HGNC:30859,HGNC:18650,HGNC:24574,HGNC:11305,HGNC:10780,HGNC:10785,HGNC:11327,HGNC:11370,HGNC:11465,HGNC:11586,HGNC:11655,HGNC:11763,HGNC:22964,HGNC:23656,HGNC:23156,HGNC:12511,HGNC:12666,HGNC:12692,HGNC:8014"
GO:MF,organic cyclic compound binding,GO:0097159,2.77E-27,26.55807057,6291,235,164,18679,"HGNC:71,HGNC:115,HGNC:132,HGNC:17780,HGNC:143,HGNC:144,HGNC:166,HGNC:347,HGNC:10648,HGNC:402,HGNC:414,HGNC:533,HGNC:655,HGNC:18697,HGNC:24526,HGNC:24215,HGNC:799,HGNC:812,HGNC:814,HGNC:823,HGNC:830,HGNC:31326,HGNC:16863,HGNC:18041,HGNC:24170,HGNC:1243,HGNC:1424,HGNC:1473,HGNC:1527,HGNC:1615,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:1623,HGNC:1772,HGNC:16991,HGNC:2092,HGNC:2678,HGNC:2717,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:3214,HGNC:30858,HGNC:9437,HGNC:3296,HGNC:3350,HGNC:3418,HGNC:16947,HGNC:24520,HGNC:3594,HGNC:3754,HGNC:3755,HGNC:3775,HGNC:17136,HGNC:4141,HGNC:4199,HGNC:29931,HGNC:24941,HGNC:5039,HGNC:5045,HGNC:5046,HGNC:24973,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:5246,HGNC:5330,HGNC:6038,HGNC:6047,HGNC:6190,HGNC:6395,HGNC:6512,HGNC:28817,HGNC:26021,HGNC:6898,HGNC:6912,HGNC:18477,HGNC:29608,HGNC:7432,HGNC:7546,HGNC:7568,HGNC:23212,HGNC:7579,HGNC:31104,HGNC:7596,HGNC:7597,HGNC:7599,HGNC:7602,HGNC:7604,HGNC:7605,HGNC:7637,HGNC:29830,HGNC:8554,HGNC:270,HGNC:8647,HGNC:8891,HGNC:8896,HGNC:16089,HGNC:9021,HGNC:9069,HGNC:9208,HGNC:9253,HGNC:9413,HGNC:17340,HGNC:24903,HGNC:9751,HGNC:9760,HGNC:9846,HGNC:9870,HGNC:23244,HGNC:21863,HGNC:10304,HGNC:10317,HGNC:10381,HGNC:10414,HGNC:24534,HGNC:10474,HGNC:10475,HGNC:17860,HGNC:1546,HGNC:10770,HGNC:11026,HGNC:30646,HGNC:30859,HGNC:18650,HGNC:24574,HGNC:20390,HGNC:11305,HGNC:10780,HGNC:10785,HGNC:11327,HGNC:11362,HGNC:11370,HGNC:11465,HGNC:43,HGNC:11586,HGNC:11655,HGNC:11763,HGNC:22964,HGNC:23656,HGNC:11834,HGNC:11875,HGNC:11990,HGNC:15979,HGNC:20772,HGNC:20776,HGNC:23156,HGNC:12511,HGNC:12525,HGNC:12666,HGNC:12692,HGNC:12729,HGNC:8014,HGNC:12877"
GO:MF,heterocyclic compound binding,GO:1901363,1.10E-26,25.95945987,6210,235,162,18679,"HGNC:71,HGNC:115,HGNC:132,HGNC:17780,HGNC:143,HGNC:144,HGNC:166,HGNC:347,HGNC:10648,HGNC:402,HGNC:414,HGNC:533,HGNC:655,HGNC:18697,HGNC:24526,HGNC:24215,HGNC:799,HGNC:812,HGNC:814,HGNC:823,HGNC:830,HGNC:31326,HGNC:16863,HGNC:18041,HGNC:24170,HGNC:1243,HGNC:1424,HGNC:1473,HGNC:1615,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:1623,HGNC:1772,HGNC:16991,HGNC:2092,HGNC:2678,HGNC:2717,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:3214,HGNC:30858,HGNC:9437,HGNC:3296,HGNC:3350,HGNC:3418,HGNC:24520,HGNC:3594,HGNC:3754,HGNC:3755,HGNC:3775,HGNC:17136,HGNC:4141,HGNC:4199,HGNC:29931,HGNC:24941,HGNC:5039,HGNC:5045,HGNC:5046,HGNC:24973,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:5246,HGNC:5330,HGNC:6038,HGNC:6047,HGNC:6190,HGNC:6395,HGNC:6512,HGNC:28817,HGNC:26021,HGNC:6898,HGNC:6912,HGNC:18477,HGNC:29608,HGNC:7432,HGNC:7546,HGNC:7568,HGNC:23212,HGNC:7579,HGNC:31104,HGNC:7596,HGNC:7597,HGNC:7599,HGNC:7602,HGNC:7604,HGNC:7605,HGNC:7637,HGNC:29830,HGNC:8554,HGNC:270,HGNC:8647,HGNC:8891,HGNC:8896,HGNC:16089,HGNC:9021,HGNC:9069,HGNC:9208,HGNC:9253,HGNC:9413,HGNC:17340,HGNC:24903,HGNC:9751,HGNC:9760,HGNC:9846,HGNC:9870,HGNC:23244,HGNC:21863,HGNC:10304,HGNC:10317,HGNC:10381,HGNC:10414,HGNC:24534,HGNC:10474,HGNC:10475,HGNC:17860,HGNC:1546,HGNC:10770,HGNC:11026,HGNC:30646,HGNC:30859,HGNC:18650,HGNC:24574,HGNC:20390,HGNC:11305,HGNC:10780,HGNC:10785,HGNC:11327,HGNC:11362,HGNC:11370,HGNC:11465,HGNC:43,HGNC:11586,HGNC:11655,HGNC:11763,HGNC:22964,HGNC:23656,HGNC:11834,HGNC:11875,HGNC:11990,HGNC:15979,HGNC:20772,HGNC:20776,HGNC:23156,HGNC:12511,HGNC:12525,HGNC:12666,HGNC:12692,HGNC:12729,HGNC:8014,HGNC:12877"
GO:MF,cadherin binding,GO:0045296,6.30E-24,23.20072149,333,235,39,18679,"HGNC:347,HGNC:414,HGNC:533,HGNC:31326,HGNC:1623,HGNC:23186,HGNC:2745,HGNC:3214,HGNC:3350,HGNC:3594,HGNC:3754,HGNC:3755,HGNC:4199,HGNC:5258,HGNC:5241,HGNC:28817,HGNC:30321,HGNC:7579,HGNC:7596,HGNC:8647,HGNC:15514,HGNC:9021,HGNC:9069,HGNC:9846,HGNC:9870,HGNC:10317,HGNC:10414,HGNC:24534,HGNC:10474,HGNC:17860,HGNC:11026,HGNC:30646,HGNC:11273,HGNC:11362,HGNC:11827,HGNC:11873,HGNC:11875,HGNC:12648,HGNC:12849"
GO:MF,ATPase,GO:0016887,3.88E-23,22.41081012,553,235,47,18679,"HGNC:71,HGNC:143,HGNC:533,HGNC:18697,HGNC:24215,HGNC:799,HGNC:812,HGNC:814,HGNC:830,HGNC:1615,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:1623,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:7568,HGNC:23212,HGNC:7579,HGNC:31104,HGNC:7596,HGNC:7597,HGNC:7599,HGNC:7602,HGNC:7604,HGNC:7605,HGNC:10474,HGNC:10475,HGNC:30859,HGNC:43,HGNC:11566,HGNC:11655,HGNC:11990,HGNC:12666"
GO:MF,small molecule binding,GO:0036094,2.46E-22,21.60844004,2516,235,95,18679,"HGNC:71,HGNC:115,HGNC:132,HGNC:17780,HGNC:143,HGNC:144,HGNC:166,HGNC:402,HGNC:414,HGNC:655,HGNC:18697,HGNC:24526,HGNC:24215,HGNC:799,HGNC:812,HGNC:814,HGNC:823,HGNC:830,HGNC:18041,HGNC:1424,HGNC:1527,HGNC:1615,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:1623,HGNC:1772,HGNC:2678,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:3214,HGNC:30858,HGNC:9437,HGNC:3296,HGNC:3418,HGNC:16947,HGNC:3594,HGNC:4141,HGNC:29931,HGNC:4458,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:5330,HGNC:6190,HGNC:6512,HGNC:6631,HGNC:6898,HGNC:7432,HGNC:7568,HGNC:23212,HGNC:7579,HGNC:31104,HGNC:7596,HGNC:7597,HGNC:7599,HGNC:7602,HGNC:7604,HGNC:7605,HGNC:29830,HGNC:270,HGNC:8891,HGNC:8896,HGNC:9021,HGNC:9208,HGNC:9413,HGNC:9751,HGNC:9760,HGNC:9846,HGNC:9870,HGNC:10474,HGNC:10475,HGNC:30859,HGNC:20390,HGNC:11305,HGNC:43,HGNC:11655,HGNC:22964,HGNC:11834,HGNC:11990,HGNC:20772,HGNC:20776,HGNC:12525,HGNC:12666,HGNC:12729"
GO:MF,purine ribonucleoside triphosphate binding,GO:0035639,1.16E-21,20.9373717,1846,235,80,18679,"HGNC:71,HGNC:115,HGNC:132,HGNC:17780,HGNC:143,HGNC:144,HGNC:655,HGNC:18697,HGNC:24526,HGNC:24215,HGNC:799,HGNC:812,HGNC:814,HGNC:823,HGNC:830,HGNC:18041,HGNC:1424,HGNC:1615,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:1623,HGNC:1772,HGNC:2678,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:3214,HGNC:30858,HGNC:9437,HGNC:3296,HGNC:3418,HGNC:29931,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:5330,HGNC:6190,HGNC:6512,HGNC:6898,HGNC:7432,HGNC:7568,HGNC:23212,HGNC:7579,HGNC:31104,HGNC:7596,HGNC:7597,HGNC:7599,HGNC:7602,HGNC:7604,HGNC:7605,HGNC:29830,HGNC:8896,HGNC:9021,HGNC:9413,HGNC:9751,HGNC:9760,HGNC:9846,HGNC:9870,HGNC:10474,HGNC:10475,HGNC:30859,HGNC:11305,HGNC:43,HGNC:11655,HGNC:22964,HGNC:11990,HGNC:20772,HGNC:20776,HGNC:12666,HGNC:12729"
GO:MF,nucleotide binding,GO:0000166,1.30E-21,20.88578376,2176,235,87,18679,"HGNC:71,HGNC:115,HGNC:132,HGNC:17780,HGNC:143,HGNC:144,HGNC:402,HGNC:655,HGNC:18697,HGNC:24526,HGNC:24215,HGNC:799,HGNC:812,HGNC:814,HGNC:823,HGNC:830,HGNC:18041,HGNC:1424,HGNC:1615,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:1623,HGNC:1772,HGNC:2678,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:3214,HGNC:30858,HGNC:9437,HGNC:3296,HGNC:3418,HGNC:4141,HGNC:29931,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:5330,HGNC:6190,HGNC:6512,HGNC:6898,HGNC:7432,HGNC:7568,HGNC:23212,HGNC:7579,HGNC:31104,HGNC:7596,HGNC:7597,HGNC:7599,HGNC:7602,HGNC:7604,HGNC:7605,HGNC:29830,HGNC:270,HGNC:8891,HGNC:8896,HGNC:9021,HGNC:9208,HGNC:9413,HGNC:9751,HGNC:9760,HGNC:9846,HGNC:9870,HGNC:10474,HGNC:10475,HGNC:30859,HGNC:20390,HGNC:11305,HGNC:43,HGNC:11655,HGNC:22964,HGNC:11990,HGNC:20772,HGNC:20776,HGNC:12525,HGNC:12666,HGNC:12729"
GO:MF,nucleoside phosphate binding,GO:1901265,1.34E-21,20.87192062,2177,235,87,18679,"HGNC:71,HGNC:115,HGNC:132,HGNC:17780,HGNC:143,HGNC:144,HGNC:402,HGNC:655,HGNC:18697,HGNC:24526,HGNC:24215,HGNC:799,HGNC:812,HGNC:814,HGNC:823,HGNC:830,HGNC:18041,HGNC:1424,HGNC:1615,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:1623,HGNC:1772,HGNC:2678,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:3214,HGNC:30858,HGNC:9437,HGNC:3296,HGNC:3418,HGNC:4141,HGNC:29931,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:5330,HGNC:6190,HGNC:6512,HGNC:6898,HGNC:7432,HGNC:7568,HGNC:23212,HGNC:7579,HGNC:31104,HGNC:7596,HGNC:7597,HGNC:7599,HGNC:7602,HGNC:7604,HGNC:7605,HGNC:29830,HGNC:270,HGNC:8891,HGNC:8896,HGNC:9021,HGNC:9208,HGNC:9413,HGNC:9751,HGNC:9760,HGNC:9846,HGNC:9870,HGNC:10474,HGNC:10475,HGNC:30859,HGNC:20390,HGNC:11305,HGNC:43,HGNC:11655,HGNC:22964,HGNC:11990,HGNC:20772,HGNC:20776,HGNC:12525,HGNC:12666,HGNC:12729"
GO:MF,ribonucleotide binding,GO:0032553,4.95E-21,20.30510849,1934,235,81,18679,"HGNC:71,HGNC:115,HGNC:132,HGNC:17780,HGNC:143,HGNC:144,HGNC:655,HGNC:18697,HGNC:24526,HGNC:24215,HGNC:799,HGNC:812,HGNC:814,HGNC:823,HGNC:830,HGNC:18041,HGNC:1424,HGNC:1615,HGNC:1616,HGNC:1617,HGNC:1620,HGNC:1623,HGNC:1772,HGNC:2678,HGNC:2734,HGNC:2740,HGNC:17347,HGNC:17821,HGNC:13917,HGNC:2745,HGNC:20084,HGNC:2738,HGNC:16716,HGNC:2750,HGNC:2961,HGNC:3214,HGNC:30858,HGNC:9437,HGNC:3296,HGNC:3418,HGNC:29931,HGNC:5253,HGNC:5258,HGNC:5233,HGNC:5241,HGNC:5330,HGNC:6190,HGNC:6512,HGNC:6898,HGNC:7432,HGNC:7568,HGNC:23212,HGNC:7579,HGNC:31104,HGNC:7596,HGNC:7597,HGNC:7599,HGNC:7602,HGNC:7604,HGNC:7605,HGNC:29830,HGNC:8896,HGNC:9021,HGNC:9208,HGNC:9413,HGNC:9751,HGNC:9760,HGNC:9846,HGNC:9870,HGNC:10474,HGNC:10475,HGNC:30859,HGNC:11305,HGNC:43,HGNC:11655,HGNC:22964,HGNC:11990,HGNC:20772,HGNC:20776,HGNC:12666,HGNC:12729"
