"","GO:0030048","GO:0016032","GO:0006996","GO:0051641","GO:0071840","GO:0008380","GO:0006403","GO:0044085","GO:0016043","GO:0016071","GO:0000377","GO:0000398","GO:0000375","GO:0051649","GO:0034613","GO:0033036","GO:0070727","GO:0006396","GO:0030029","GO:0022607","GO:1903827","GO:1904874","GO:0008104","GO:0046907","GO:0065003","GO:0006725","GO:1901360","GO:0071826","GO:0006139","GO:0022613","GO:1904872","GO:0090685","GO:0090672","GO:0090670","GO:0090671","GO:0070252","GO:0043933","GO:0006397","GO:0046483","GO:0034622","GO:1904816","GO:0022618","GO:0019079","GO:0032880","GO:0019058","GO:0061024","GO:0033365","GO:1904814","GO:0071705","GO:0060341","GO:0006936","GO:0003012","GO:1904851","GO:0065008","GO:0010628","GO:0043484","GO:0030050","GO:0045184","GO:0033554","GO:1904871","GO:1904869","GO:0070203","GO:0048524","GO:0090304","GO:0007010","GO:0045070","GO:0030036","GO:0099515","GO:0070202","GO:1904867","GO:1903405","GO:0050792","GO:0072594","GO:0072583","GO:0006418","GO:0051234","GO:0016192","GO:1990173","GO:0008219","GO:0009893","GO:1903900","GO:0010604","GO:0031647","GO:0043039","GO:0006412","GO:0043038","GO:0070199","GO:0034641","GO:1900182","GO:0030049","GO:0033275","GO:0070200","GO:1903311","GO:0006810","GO:0050821","GO:0043043","GO:0012501","GO:0010608","GO:0006278","GO:0006457","GO:0071702","GO:0051130","GO:0070198","GO:0097435","GO:0032879","GO:0032204","GO:1903829","GO:0050657","GO:0050658","GO:0072657","GO:0045069","GO:0034660","GO:0043604","GO:0051236","GO:0010467","GO:0006402","GO:0010833","GO:2000573","GO:0006401","GO:0051128","GO:0006518","GO:1901566","GO:0048518","GO:0045727","GO:0000723","GO:1900180","GO:0044403","GO:0043312","GO:0007015","GO:0051054","GO:0051179","GO:0034250","GO:0002283","GO:0031325","GO:0061621","GO:0061718","GO:0006735","GO:0015031","GO:0031328","GO:0016070","GO:0007004","GO:0006950","GO:0032799","GO:0032802","GO:1904951","GO:0002446","GO:0006886","GO:0042119","GO:0006417","GO:0032200","GO:0061620","GO:0015931","GO:0036230","GO:0009891","GO:0010033","GO:1903608","GO:0051668","GO:0061615","GO:0002444","GO:0006734","GO:0048024","GO:1904356","GO:0044419","GO:0048522","GO:0070887","GO:0046719","GO:0034109","GO:2000278","GO:0034248","GO:0034976","GO:0043299","GO:0010941","GO:0009888","GO:0050684","GO:0002275","GO:0051052","GO:0034502","GO:0006007","GO:0051701","GO:0043067","GO:0006915","GO:0051173","GO:0006259","GO:0043603","GO:0032212","GO:0019752","GO:0043488","GO:0051028","GO:0032206","GO:0045055","GO:0099518","GO:0006986","GO:0044265","GO:0019320","GO:0032210","GO:0060249","GO:2000765","GO:0034655","GO:0010557","GO:0000380","GO:0061013","GO:0051246","GO:0006887","GO:0044270","GO:1904358","GO:0034504","GO:0150105","GO:0043487","GO:0046726","GO:0042254","GO:0043436","GO:0048193","GO:0043254","GO:0080135","GO:0080090","GO:0019439","GO:0042981","GO:0070201","GO:0031032","GO:0002252","GO:0002376","GO:0046365","GO:0030705","GO:0032508","GO:0071897","GO:0060255","GO:0071310","GO:0044087","GO:1905475","GO:0042255","GO:0006082","GO:0022603","GO:0019219","GO:0035966","GO:0010468","GO:0009057","GO:0032392","GO:1901998","GO:0070527","GO:0019222","GO:0046700","GO:0009199","GO:0071346","GO:0090666"
"GO:0030048",0.999,0,0.019,0.019,0.02,0.016,0,0.018,0.02,0.016,0.015,0.015,0.015,0.018,0.017,0,0.017,0.017,0.818,0.018,0.015,0,0,0.017,0.017,0.021,0,0.014,0.02,0.015,0,0,0,0,0,0.987,0.017,0.016,0.021,0.016,0.011,0.014,0,0,0,0.016,0.016,0.011,0,0.016,0,0,0.011,0,0,0.014,0.778,0,0.018,0.011,0.011,0.011,0,0.02,0.017,0,0.806,0.011,0.011,0.011,0.011,0,0.015,0.012,0.013,0,0.018,0.011,0.018,0,0,0,0,0.013,0.016,0.013,0.012,0.021,0.013,0.895,0.898,0.012,0.015,0,0,0.016,0.018,0,0.013,0.014,0,0.016,0.012,0.016,0,0.014,0.014,0,0,0.015,0,0.015,0.016,0,0,0.015,0.013,0.013,0.015,0.018,0.016,0,0,0.013,0.014,0.013,0,0.015,0.764,0.014,0,0.014,0.015,0.019,0.012,0.012,0,0,0.017,0.02,0.013,0,0.012,0.012,0,0,0.016,0.015,0.015,0.015,0.012,0,0.015,0,0,0.011,0.013,0.012,0,0,0.013,0.013,0,0.021,0.019,0,0.013,0.014,0.015,0.015,0.015,0.017,0,0.014,0.015,0.015,0.013,0,0,0.017,0.018,0,0.017,0.017,0.012,0.017,0.014,0,0.013,0.016,0.013,0,0.017,0,0.013,0,0.012,0.016,0,0.013,0.014,0,0.016,0.016,0.012,0.014,0,0.014,0,0.015,0.017,0.015,0.015,0.016,0,0.016,0.017,0,0.716,0,0,0,0.014,0.013,0.014,0,0.018,0.016,0.014,0.013,0.017,0,0.019,0,0,0,0.013,0,0.013,0,0.016,0.013,0.014,0
"GO:0016032",0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0,0.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812,0,0,0.731,0,0,0,0,0,0.874,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823,0,0,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0
"GO:0006996",0.019,0,0.941,0.03,0.783,0.023,0,0.65,0.792,0.025,0.022,0.022,0.023,0.029,0.027,0,0.027,0.026,0.024,0.652,0.022,0,0,0.027,0.588,0.036,0,0.452,0.036,0.491,0,0,0,0,0,0.019,0.603,0.024,0.036,0.547,0.015,0.45,0,0,0,0.529,0.024,0.015,0,0.024,0,0,0.014,0,0,0.019,0.014,0,0.029,0.014,0.014,0.015,0,0.035,0.773,0,0.698,0.014,0.015,0.015,0.015,0,0.022,0.017,0.018,0,0.028,0.015,0.028,0,0,0,0,0.018,0.024,0.018,0.016,0.037,0.017,0.017,0.017,0.015,0.021,0,0,0.024,0.028,0,0.018,0.02,0,0.554,0.016,0.522,0,0.556,0.02,0,0,0.022,0,0.023,0.025,0,0,0.022,0.546,0.018,0.022,0.629,0.025,0,0,0.019,0.611,0.018,0,0.021,0.645,0.02,0,0.019,0.021,0.03,0.016,0.016,0,0,0.027,0.034,0.535,0,0.016,0.015,0,0,0.025,0.021,0.022,0.616,0.016,0,0.021,0,0,0.014,0.018,0.016,0,0,0.018,0.524,0,0.036,0.031,0,0.018,0.019,0.022,0.022,0.021,0.027,0,0.019,0.021,0.022,0.018,0,0,0.026,0.028,0,0.027,0.026,0.481,0.026,0.019,0,0.514,0.023,0.017,0,0.026,0,0.515,0,0.017,0.023,0,0.018,0.02,0,0.024,0.023,0.486,0.02,0,0.019,0,0.466,0.026,0.022,0.475,0.023,0,0.023,0.026,0,0.588,0,0,0,0.02,0.539,0.02,0,0.029,0.525,0.019,0.509,0.026,0,0.031,0,0,0,0.549,0,0.017,0,0.023,0.019,0.019,0
"GO:0051641",0.019,0,0.03,0.958,0.034,0.022,0.402,0.028,0.033,0.024,0.022,0.022,0.022,0.915,0.852,0.562,0.852,0.025,0.023,0.028,0.703,0.3,0.545,0.854,0.025,0.034,0,0.02,0.034,0.022,0.304,0.312,0.307,0.312,0.307,0.018,0.026,0.023,0.034,0.023,0.483,0.019,0,0.465,0,0.023,0.762,0.491,0.536,0.772,0,0,0.473,0,0,0.018,0.449,0.518,0.027,0.469,0.469,0.48,0,0.033,0.025,0,0.023,0.465,0.486,0.477,0.477,0,0.714,0.327,0.017,0.657,0.538,0.483,0.027,0,0,0,0,0.017,0.023,0.017,0.517,0.034,0.563,0.016,0.016,0.5,0.02,0.654,0,0.023,0.027,0,0.018,0.019,0.556,0.024,0.529,0.022,0.565,0.018,0.662,0.395,0.395,0.724,0,0.022,0.024,0.395,0,0.021,0.018,0.017,0.021,0.027,0.024,0,0,0.018,0.02,0.587,0,0.68,0.021,0.019,0.695,0.018,0.02,0.029,0.015,0.015,0,0.514,0.026,0.032,0.018,0,0.015,0.015,0.418,0,0.786,0.02,0.021,0.02,0.016,0.404,0.02,0,0,0.46,0.587,0.016,0,0,0.018,0.017,0,0.034,0.029,0,0.017,0.018,0.021,0.021,0.69,0.025,0,0.018,0.021,0.021,0.58,0,0,0.025,0.026,0,0.025,0.024,0.016,0.025,0.019,0.373,0.017,0.445,0.556,0,0.025,0,0.017,0,0.016,0.022,0,0.017,0.019,0,0.456,0.022,0.016,0.647,0.277,0.019,0,0.021,0.025,0.426,0.021,0.022,0,0.022,0.025,0.446,0.019,0,0,0,0.647,0.018,0.02,0,0.028,0.023,0.621,0.017,0.025,0,0.03,0,0,0,0.018,0.317,0.017,0,0.022,0.018,0.019,0.274
"GO:0071840",0.02,0,0.783,0.034,0.891,0.025,0,0.723,0.885,0.027,0.024,0.024,0.024,0.032,0.029,0,0.029,0.029,0.026,0.711,0.024,0,0,0.029,0.634,0.041,0,0.477,0.041,0.531,0,0,0,0,0,0.02,0.653,0.026,0.041,0.586,0.016,0.475,0,0,0,0.565,0.026,0.016,0,0.026,0,0,0.015,0,0,0.02,0.014,0,0.032,0.015,0.015,0.015,0,0.04,0.629,0,0.563,0.015,0.016,0.015,0.015,0,0.024,0.018,0.019,0,0.031,0.016,0.031,0,0,0,0,0.019,0.026,0.019,0.017,0.042,0.018,0.017,0.018,0.016,0.023,0,0,0.026,0.031,0,0.019,0.022,0,0.594,0.017,0.557,0,0.441,0.022,0,0,0.024,0,0.025,0.027,0,0,0.023,0.432,0.019,0.024,0.683,0.027,0,0,0.02,0.487,0.019,0,0.023,0.517,0.021,0,0.02,0.023,0.034,0.017,0.017,0,0,0.03,0.038,0.423,0,0.017,0.016,0,0,0.027,0.023,0.023,0.492,0.017,0,0.023,0,0,0.015,0.019,0.017,0,0,0.02,0.414,0,0.041,0.035,0,0.019,0.02,0.024,0.023,0.023,0.029,0,0.02,0.023,0.023,0.019,0,0,0.029,0.031,0,0.029,0.028,0.378,0.028,0.021,0,0.406,0.025,0.018,0,0.028,0,0.407,0,0.018,0.025,0,0.019,0.021,0,0.026,0.025,0.382,0.021,0,0.021,0,0.503,0.029,0.024,0.503,0.025,0,0.025,0.029,0,0.468,0,0,0,0.021,0.426,0.022,0,0.033,0.572,0.02,0.401,0.029,0,0.035,0,0,0,0.435,0,0.018,0,0.025,0.02,0.02,0
"GO:0008380",0.016,0,0.023,0.022,0.025,0.993,0,0.022,0.025,0.501,0.966,0.966,0.968,0.022,0.02,0,0.02,0.881,0.019,0.022,0.017,0,0,0.02,0.02,0.547,0.536,0.016,0.556,0.018,0,0,0,0,0,0.015,0.021,0.806,0.549,0.019,0.013,0.016,0,0,0,0.019,0.019,0.013,0,0.019,0,0,0.012,0,0.453,0.846,0.012,0,0.022,0.012,0.012,0.013,0,0.576,0.02,0,0.019,0.012,0.013,0.012,0.012,0,0.018,0.014,0.383,0,0.021,0.013,0.021,0.207,0,0.283,0,0.385,0.401,0.191,0.013,0.522,0.014,0.014,0.014,0.013,0.436,0,0,0.383,0.021,0.413,0.348,0.016,0,0.019,0.014,0.018,0,0.357,0.017,0,0,0.018,0,0.466,0.388,0,0.542,0.447,0.352,0.342,0.454,0.021,0.389,0.268,0,0.325,0.385,0.015,0,0.017,0.017,0.373,0,0.315,0.017,0.25,0.296,0.16,0.12,0,0.228,0.625,0.346,0,0.165,0.165,0,0,0.019,0.017,0.367,0.017,0.297,0,0.017,0.185,0,0.012,0.015,0.297,0,0.124,0.823,0.34,0,0.025,0.023,0,0.015,0.358,0.353,0.017,0.017,0.02,0,0.679,0.017,0.399,0.015,0.164,0,0.02,0.021,0.285,0.469,0.4,0.317,0.22,0.407,0,0.335,0.018,0.014,0,0.245,0.17,0.335,0,0.296,0.399,0.253,0.805,0.415,0.282,0.019,0.371,0.319,0.016,0,0.408,0,0.017,0.222,0.018,0.017,0.018,0.296,0.395,0.02,0,0.016,0,0,0.173,0.016,0.015,0.38,0.316,0.022,0.019,0.016,0.014,0.222,0,0.507,0,0.516,0.249,0.015,0,0.014,0.233,0.396,0.338,0.016,0
"GO:0006403",0,0,0,0.402,0,0,0.997,0,0,0,0,0,0,0.389,0.65,0.694,0.65,0,0,0,0.564,0.791,0.68,0.37,0,0,0,0,0,0,0.801,0.817,0.805,0.817,0.805,0,0,0,0,0,0.419,0,0,0.606,0,0,0.599,0.425,0.382,0.344,0,0,0.412,0,0,0,0.224,0.655,0,0.409,0.409,0.417,0,0,0,0,0,0.231,0.421,0.415,0.415,0,0.571,0.262,0,0.439,0.383,0.419,0,0,0,0,0,0,0,0,0.443,0,0.474,0,0,0.431,0,0.438,0,0,0,0,0,0,0.392,0,0.452,0,0.396,0,0.539,0.304,0.985,0.577,0,0,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0.491,0,0.313,0,0,0.456,0,0,0,0,0,0,0.652,0,0,0,0,0,0,0.56,0,0.613,0,0,0,0,0.31,0,0,0,0.403,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0.941,0,0.333,0.267,0,0,0,0,0,0,0,0,0,0,0,0.339,0,0,0.529,0.403,0,0,0,0,0.322,0,0,0,0,0,0.588,0,0,0,0,0.301,0,0,0,0,0,0.513,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0.734
"GO:0044085",0.018,0,0.65,0.028,0.723,0.022,0,0.961,0.719,0.024,0.021,0.021,0.021,0.027,0.025,0,0.025,0.025,0.023,0.948,0.021,0,0,0.025,0.86,0.033,0,0.424,0.033,0.738,0,0,0,0,0,0.018,0.558,0.022,0.033,0.804,0.014,0.668,0,0,0,0.492,0.022,0.015,0,0.023,0,0,0.014,0,0,0.018,0.013,0,0.027,0.014,0.014,0.014,0,0.032,0.541,0,0.491,0.014,0.014,0.014,0.014,0,0.021,0.016,0.017,0,0.026,0.014,0.027,0,0,0,0,0.017,0.023,0.017,0.015,0.034,0.017,0.016,0.016,0.015,0.02,0,0,0.023,0.026,0,0.018,0.019,0,0.514,0.016,0.487,0,0.395,0.02,0,0,0.021,0,0.022,0.023,0,0,0.021,0.388,0.017,0.021,0.579,0.023,0,0,0.018,0.432,0.017,0,0.02,0.456,0.019,0,0.018,0.02,0.028,0.015,0.015,0,0,0.025,0.031,0.381,0,0.015,0.015,0,0,0.023,0.02,0.021,0.436,0.015,0,0.02,0,0,0.014,0.017,0.015,0,0,0.018,0.374,0,0.033,0.029,0,0.017,0.018,0.021,0.021,0.02,0.025,0,0.018,0.02,0.021,0.017,0,0,0.025,0.026,0,0.025,0.024,0.344,0.024,0.018,0,0.367,0.022,0.016,0,0.024,0,0.368,0,0.016,0.022,0,0.017,0.019,0,0.022,0.022,0.347,0.019,0,0.019,0,0.702,0.025,0.021,0.703,0.022,0,0.022,0.025,0,0.417,0,0,0,0.019,0.383,0.019,0,0.028,0.786,0.018,0.574,0.025,0,0.029,0,0,0,0.39,0,0.016,0,0.022,0.018,0.018,0
"GO:0016043",0.02,0,0.792,0.033,0.885,0.025,0,0.719,0.895,0.027,0.024,0.024,0.024,0.032,0.029,0,0.029,0.029,0.026,0.72,0.023,0,0,0.029,0.643,0.041,0,0.483,0.04,0.529,0,0,0,0,0,0.02,0.661,0.025,0.041,0.594,0.016,0.482,0,0,0,0.572,0.026,0.016,0,0.026,0,0,0.015,0,0,0.02,0.014,0,0.032,0.015,0.015,0.015,0,0.04,0.638,0,0.571,0.015,0.016,0.015,0.015,0,0.024,0.018,0.019,0,0.031,0.016,0.031,0,0,0,0,0.019,0.026,0.019,0.017,0.042,0.018,0.017,0.018,0.016,0.023,0,0,0.026,0.031,0,0.019,0.021,0,0.602,0.017,0.565,0,0.447,0.022,0,0,0.024,0,0.025,0.027,0,0,0.023,0.438,0.019,0.024,0.691,0.027,0,0,0.02,0.494,0.019,0,0.023,0.524,0.021,0,0.02,0.023,0.034,0.017,0.017,0,0,0.03,0.038,0.429,0,0.017,0.016,0,0,0.027,0.023,0.023,0.499,0.017,0,0.023,0,0,0.015,0.019,0.017,0,0,0.02,0.42,0,0.041,0.034,0,0.019,0.02,0.024,0.023,0.023,0.029,0,0.02,0.023,0.023,0.019,0,0,0.029,0.031,0,0.029,0.028,0.384,0.028,0.021,0,0.412,0.025,0.018,0,0.028,0,0.413,0,0.018,0.025,0,0.019,0.021,0,0.026,0.025,0.388,0.021,0,0.021,0,0.501,0.028,0.024,0.51,0.025,0,0.025,0.029,0,0.475,0,0,0,0.021,0.432,0.022,0,0.032,0.569,0.02,0.407,0.029,0,0.035,0,0,0,0.441,0,0.018,0,0.025,0.02,0.02,0
"GO:0016071",0.016,0,0.025,0.024,0.027,0.501,0,0.024,0.027,0.987,0.486,0.902,0.488,0.023,0.022,0,0.022,0.556,0.02,0.023,0.018,0,0,0.022,0.022,0.593,0.581,0.017,0.602,0.019,0,0,0,0,0,0.016,0.022,0.937,0.595,0.02,0.013,0.017,0,0,0,0.02,0.02,0.013,0,0.02,0,0,0.013,0,0.281,0.423,0.012,0,0.023,0.013,0.013,0.013,0,0.624,0.021,0,0.02,0.013,0.013,0.013,0.013,0,0.019,0.015,0.401,0,0.023,0.013,0.023,0.223,0,0.304,0,0.403,0.405,0.2,0.014,0.566,0.015,0.014,0.015,0.014,0.852,0,0,0.406,0.023,0.254,0.365,0.017,0,0.02,0.014,0.02,0,0.375,0.017,0,0,0.019,0,0.493,0.412,0,0.341,0.876,0.369,0.359,0.48,0.023,0.413,0.286,0,0.325,0.406,0.016,0,0.018,0.018,0.393,0,0.33,0.018,0.268,0.309,0.166,0.125,0,0.244,0.675,0.363,0,0.172,0.172,0,0,0.02,0.018,0.369,0.018,0.309,0,0.018,0.197,0,0.013,0.016,0.31,0,0.129,0.763,0.356,0,0.027,0.024,0,0.015,0.376,0.373,0.018,0.018,0.022,0,0.783,0.018,0.421,0.016,0.171,0,0.021,0.022,0.306,0.5,0.426,0.33,0.235,0.793,0,0.35,0.019,0.015,0,0.261,0.178,0.351,0,0.294,0.422,0.27,0.745,0.809,0.302,0.02,0.393,0.333,0.017,0,0.429,0,0.018,0.237,0.019,0.018,0.019,0.32,0.419,0.021,0,0.017,0,0,0.181,0.017,0.016,0.401,0.343,0.024,0.02,0.016,0.015,0.237,0,0.546,0,0.323,0.266,0.016,0,0.015,0.253,0.42,0.354,0.016,0
"GO:0000377",0.015,0,0.022,0.022,0.024,0.966,0,0.021,0.024,0.486,0.995,0.995,0.992,0.021,0.02,0,0.02,0.855,0.018,0.021,0.017,0,0,0.02,0.02,0.526,0.516,0.016,0.535,0.017,0,0,0,0,0,0.015,0.02,0.784,0.528,0.019,0.012,0.016,0,0,0,0.018,0.018,0.013,0,0.018,0,0,0.012,0,0.439,0.827,0.012,0,0.021,0.012,0.012,0.012,0,0.555,0.019,0,0.018,0.012,0.012,0.012,0.012,0,0.017,0.014,0.374,0,0.02,0.012,0.021,0.2,0,0.273,0,0.376,0.39,0.187,0.013,0.502,0.014,0.014,0.014,0.013,0.425,0,0,0.372,0.021,0.401,0.34,0.016,0,0.019,0.013,0.018,0,0.349,0.016,0,0,0.017,0,0.453,0.377,0,0.521,0.436,0.344,0.335,0.442,0.021,0.378,0.26,0,0.318,0.376,0.015,0,0.016,0.017,0.364,0,0.307,0.017,0.241,0.29,0.156,0.118,0,0.221,0.602,0.338,0,0.161,0.162,0,0,0.019,0.017,0.358,0.016,0.291,0,0.017,0.179,0,0.012,0.015,0.291,0,0.121,0.851,0.333,0,0.024,0.022,0,0.014,0.35,0.344,0.017,0.017,0.02,0,0.663,0.017,0.389,0.014,0.16,0,0.02,0.02,0.276,0.454,0.388,0.31,0.214,0.397,0,0.327,0.018,0.014,0,0.238,0.167,0.328,0,0.29,0.388,0.245,0.833,0.405,0.273,0.018,0.36,0.313,0.016,0,0.399,0,0.017,0.215,0.017,0.017,0.018,0.285,0.384,0.02,0,0.016,0,0,0.169,0.016,0.015,0.371,0.305,0.021,0.018,0.015,0.014,0.216,0,0.49,0,0.498,0.242,0.015,0,0.014,0.224,0.385,0.33,0.015,0
"GO:0000398",0.015,0,0.022,0.022,0.024,0.966,0,0.021,0.024,0.902,0.995,0.995,0.992,0.021,0.02,0,0.02,0.855,0.018,0.021,0.017,0,0,0.02,0.02,0.526,0.516,0.016,0.535,0.017,0,0,0,0,0,0.015,0.02,0.956,0.528,0.019,0.012,0.016,0,0,0,0.018,0.018,0.013,0,0.018,0,0,0.012,0,0.439,0.827,0.012,0,0.021,0.012,0.012,0.012,0,0.555,0.019,0,0.018,0.012,0.012,0.012,0.012,0,0.017,0.014,0.374,0,0.02,0.012,0.021,0.2,0,0.273,0,0.376,0.39,0.187,0.013,0.502,0.014,0.014,0.014,0.013,0.787,0,0,0.372,0.021,0.401,0.34,0.016,0,0.019,0.013,0.018,0,0.349,0.016,0,0,0.017,0,0.453,0.377,0,0.521,0.808,0.344,0.335,0.442,0.021,0.378,0.26,0,0.318,0.376,0.015,0,0.016,0.017,0.364,0,0.307,0.017,0.241,0.29,0.156,0.118,0,0.221,0.602,0.338,0,0.161,0.162,0,0,0.019,0.017,0.358,0.016,0.291,0,0.017,0.179,0,0.012,0.015,0.291,0,0.121,0.851,0.333,0,0.024,0.022,0,0.014,0.35,0.344,0.017,0.017,0.02,0,0.81,0.017,0.389,0.014,0.16,0,0.02,0.02,0.276,0.454,0.388,0.31,0.214,0.737,0,0.327,0.018,0.014,0,0.238,0.167,0.328,0,0.29,0.388,0.245,0.833,0.751,0.273,0.018,0.36,0.313,0.016,0,0.399,0,0.017,0.215,0.017,0.017,0.018,0.285,0.384,0.02,0,0.016,0,0,0.169,0.016,0.015,0.371,0.305,0.021,0.018,0.015,0.014,0.216,0,0.49,0,0.498,0.242,0.015,0,0.014,0.224,0.385,0.33,0.015,0
